"1" "2" "3" "4" "5"
"added" 1 0 0 0 0
"also" 1 0 0 0 0
"although" 0 0 0 0 1
"another" 0 0 0 0 1
"arc" 0 0 0 0 1
"around" 0 0 0 0 1
"bottom" 0 0 0 0 1
"capital" 0 0 0 0 1
"century" 0 0 0 0 1
"changed" 0 0 1 0 0
"close" 0 0 0 0 1
"common" 0 0 0 0 1
"compare" 0 0 2 0 0
"continuants" 0 0 1 0 0
"continue" 0 0 0 0 1
"developed" 1 0 0 0 1
"distinguish" 1 0 0 0 0
"dropped" 0 0 0 0 1
"egyptian" 1 0 0 0 0
"english" 0 0 1 0 0
"etruscan" 1 0 0 0 0
"exhibited" 0 0 1 0 0
"extra" 1 0 0 0 1
"farm" 0 0 1 0 0
"fell" 0 0 0 0 1
"ferme" 0 0 1 0 0
"following" 0 0 2 0 0
"form" 1 0 0 0 2
"forms" 1 0 0 0 0
"french" 0 0 2 0 0
"german" 0 0 1 0 0
"greek" 2 0 0 0 0
"handwriting" 0 0 0 0 1
"head" 2 0 0 0 0
"hieroglyph" 1 0 0 0 0
"inspired" 1 0 0 0 0
"kept" 0 0 0 0 1
"language" 1 0 0 0 0
"languages" 0 0 1 0 0
"later" 1 0 0 0 0
"latin" 1 0 1 0 0
"leg" 0 0 0 0 1
"letter" 4 0 2 0 0
"letters" 0 0 1 0 0
"likely" 1 0 0 0 0
"loop" 0 0 0 0 1
"loopleg" 0 0 0 0 2
"lowercase" 0 0 0 0 1
"many" 0 0 2 0 0
"may" 1 0 0 0 0
"middle" 0 0 1 0 0
"minuscule" 0 0 0 0 2
"name" 1 0 3 0 0
"needed" 1 0 0 0 0
"original" 1 0 0 0 0
"pattern" 0 0 2 0 0
"pcitation" 1 0 0 0 0
"pen" 0 0 0 0 1
"preserved" 0 0 1 0 0
"representing" 0 0 1 0 0
"rêš" 1 0 0 0 0
"rhô" 1 0 0 0 0
"rotunda" 0 0 0 0 1
"saving" 0 0 0 0 1
"semites" 1 0 0 0 0
"semitic" 1 0 0 0 0
"several" 0 0 0 0 1
"shortened" 0 0 0 0 1
"simple" 0 0 0 0 1
"star" 0 0 1 0 0
"stern" 0 0 1 0 0
"stroke" 1 0 0 0 4
"today" 0 0 0 0 1
"use" 0 0 0 0 1
"used" 1 0 0 0 1
"variations" 0 0 0 0 1
"vertical" 0 0 0 0 1
"western" 1 0 0 0 0
"word" 1 0 0 0 0
"words" 0 0 1 0 0
